,day_week_name,direction,hour,speed_average
0,Sunday,SOUTH-NORTH,3,43.01320193349877
1,Sunday,SOUTH-NORTH,14,31.57878574341912
2,Sunday,SOUTH-NORTH,20,35.233347233753115
3,Sunday,SOUTH-NORTH,0,39.326637737363704
4,Sunday,SOUTH-NORTH,13,27.227528958843003
5,Sunday,SOUTH-NORTH,4,42.949083316289624
6,Sunday,SOUTH-NORTH,5,40.819643246188726
7,Sunday,SOUTH-NORTH,17,30.847754289264714
8,Sunday,SOUTH-NORTH,1,40.42424394059029
9,Sunday,SOUTH-NORTH,2,41.85297976697323
10,Sunday,SOUTH-NORTH,21,37.39080150455881
11,Sunday,SOUTH-NORTH,23,40.92759327344361
12,Sunday,SOUTH-NORTH,19,32.73945482707922
13,Sunday,SOUTH-NORTH,6,38.44294211779161
14,Sunday,SOUTH-NORTH,8,31.99894114249387
15,Sunday,SOUTH-NORTH,18,30.510503131883155
16,Sunday,SOUTH-NORTH,22,39.09192572171365
17,Sunday,SOUTH-NORTH,9,30.021403186313304
18,Sunday,SOUTH-NORTH,12,26.421391612252854
19,Sunday,SOUTH-NORTH,15,31.81757352941788
20,Sunday,SOUTH-NORTH,11,27.17139025052696
21,Sunday,SOUTH-NORTH,10,28.4018835103799
22,Sunday,SOUTH-NORTH,16,31.11759531593749
23,Sunday,SOUTH-NORTH,7,34.59531709559232
24,Monday,SOUTH-NORTH,12,29.56118435371632
25,Monday,SOUTH-NORTH,15,28.893902891114287
26,Monday,SOUTH-NORTH,7,29.26198367339593
27,Monday,SOUTH-NORTH,16,26.763518707532644
28,Monday,SOUTH-NORTH,13,29.67031836742042
29,Monday,SOUTH-NORTH,20,33.9744798063119
30,Monday,SOUTH-NORTH,21,36.415576215807114
31,Monday,SOUTH-NORTH,11,30.05150136050205
32,Monday,SOUTH-NORTH,22,38.77217959183469
33,Monday,SOUTH-NORTH,3,42.65038930936388
34,Monday,SOUTH-NORTH,6,32.29520425168163
35,Monday,SOUTH-NORTH,19,27.640083793182086
36,Monday,SOUTH-NORTH,5,36.305968027228545
37,Monday,SOUTH-NORTH,23,40.40194931974896
38,Monday,SOUTH-NORTH,10,30.240724829930606
39,Monday,SOUTH-NORTH,8,29.110892517030614
40,Monday,SOUTH-NORTH,1,42.542646778391905
41,Monday,SOUTH-NORTH,2,42.22628855932942
42,Monday,SOUTH-NORTH,0,42.11585767790807
43,Monday,SOUTH-NORTH,14,30.26870323128979
44,Monday,SOUTH-NORTH,4,40.42227937674833
45,Monday,SOUTH-NORTH,18,23.20855289118571
46,Monday,SOUTH-NORTH,9,30.157205102095915
47,Monday,SOUTH-NORTH,17,24.41303503397756
48,Tuesday,SOUTH-NORTH,6,30.066247448019602
49,Tuesday,SOUTH-NORTH,22,37.94456385646283
50,Tuesday,SOUTH-NORTH,0,41.7259819727959
51,Tuesday,SOUTH-NORTH,13,28.478518439689374
52,Tuesday,SOUTH-NORTH,10,29.601458680577096
53,Tuesday,SOUTH-NORTH,23,40.69864781184723
54,Tuesday,SOUTH-NORTH,14,28.237490617174746
55,Tuesday,SOUTH-NORTH,19,24.13138923613543
56,Tuesday,SOUTH-NORTH,1,42.502878571453046
57,Tuesday,SOUTH-NORTH,7,26.83846700686939
58,Tuesday,SOUTH-NORTH,8,27.481408843491838
59,Tuesday,SOUTH-NORTH,21,34.86170937497083
60,Tuesday,SOUTH-NORTH,5,34.483285344802944
61,Tuesday,SOUTH-NORTH,4,38.48949421770408
62,Tuesday,SOUTH-NORTH,2,42.086242851258135
63,Tuesday,SOUTH-NORTH,12,28.64074782241342
64,Tuesday,SOUTH-NORTH,18,19.39250624999999
65,Tuesday,SOUTH-NORTH,17,20.964784895874995
66,Tuesday,SOUTH-NORTH,15,26.859950500239677
67,Tuesday,SOUTH-NORTH,20,31.808194097181246
68,Tuesday,SOUTH-NORTH,3,41.240129595428684
69,Tuesday,SOUTH-NORTH,9,28.7790176870694
70,Tuesday,SOUTH-NORTH,11,29.424755649743663
71,Tuesday,SOUTH-NORTH,16,24.250080902902077
72,Wednesday,SOUTH-NORTH,15,26.455836637474945
73,Wednesday,SOUTH-NORTH,16,24.235293544822614
74,Wednesday,SOUTH-NORTH,6,30.08799906052818
75,Wednesday,SOUTH-NORTH,4,38.435886080409446
76,Wednesday,SOUTH-NORTH,21,34.93671744581594
77,Wednesday,SOUTH-NORTH,9,28.57191666661938
78,Wednesday,SOUTH-NORTH,14,27.923627052061757
79,Wednesday,SOUTH-NORTH,11,28.952363487698268
80,Wednesday,SOUTH-NORTH,17,21.2575610392258
81,Wednesday,SOUTH-NORTH,2,42.37877290144201
82,Wednesday,SOUTH-NORTH,5,35.1291821600209
83,Wednesday,SOUTH-NORTH,7,26.701305905001046
84,Wednesday,SOUTH-NORTH,22,37.78731323036937
85,Wednesday,SOUTH-NORTH,19,23.70136547020241
86,Wednesday,SOUTH-NORTH,23,40.612090985043814
87,Wednesday,SOUTH-NORTH,20,31.33963306904006
88,Wednesday,SOUTH-NORTH,13,27.89914857343634
89,Wednesday,SOUTH-NORTH,3,41.71300208981818
90,Wednesday,SOUTH-NORTH,18,19.65646250698456
91,Wednesday,SOUTH-NORTH,12,27.955833333373704
92,Wednesday,SOUTH-NORTH,0,41.82079906773326
93,Wednesday,SOUTH-NORTH,1,42.349194154467604
94,Wednesday,SOUTH-NORTH,8,27.106438689925405
95,Wednesday,SOUTH-NORTH,10,29.469100236444056
96,Thursday,SOUTH-NORTH,3,42.267497683681825
97,Thursday,SOUTH-NORTH,14,27.766847499959095
98,Thursday,SOUTH-NORTH,21,33.88290815603829
99,Thursday,SOUTH-NORTH,8,27.37752504502919
100,Thursday,SOUTH-NORTH,17,21.35263539005106
101,Thursday,SOUTH-NORTH,23,39.81282007096381
102,Thursday,SOUTH-NORTH,13,27.79586329546364
103,Thursday,SOUTH-NORTH,7,26.978253106172534
104,Thursday,SOUTH-NORTH,0,41.851239425555555
105,Thursday,SOUTH-NORTH,22,36.564147765908515
106,Thursday,SOUTH-NORTH,9,28.827380434791312
107,Thursday,SOUTH-NORTH,19,24.189517624087234
108,Thursday,SOUTH-NORTH,1,42.4149167022832
109,Thursday,SOUTH-NORTH,6,30.311234548115944
110,Thursday,SOUTH-NORTH,20,30.8439645036
111,Thursday,SOUTH-NORTH,12,27.98378719998629
112,Thursday,SOUTH-NORTH,18,20.120981134753194
113,Thursday,SOUTH-NORTH,10,29.512148333297777
114,Thursday,SOUTH-NORTH,16,24.26624457444468
115,Thursday,SOUTH-NORTH,15,26.448352092174495
116,Thursday,SOUTH-NORTH,5,34.803719096308605
117,Thursday,SOUTH-NORTH,11,29.146375842701136
118,Thursday,SOUTH-NORTH,4,39.30634996801664
119,Thursday,SOUTH-NORTH,2,42.627330592878494
120,Friday,SOUTH-NORTH,13,26.847467375891494
121,Friday,SOUTH-NORTH,23,37.5112631943375
122,Friday,SOUTH-NORTH,22,34.382720138927084
123,Friday,SOUTH-NORTH,18,20.4491785461149
124,Friday,SOUTH-NORTH,14,26.590155319157457
125,Friday,SOUTH-NORTH,11,28.749985416625005
126,Friday,SOUTH-NORTH,20,29.209985638302133
127,Friday,SOUTH-NORTH,17,21.597110638293625
128,Friday,SOUTH-NORTH,1,42.41385365863248
129,Friday,SOUTH-NORTH,6,30.409109374979163
130,Friday,SOUTH-NORTH,19,23.815168085131926
131,Friday,SOUTH-NORTH,0,41.23751423907689
132,Friday,SOUTH-NORTH,10,29.29474982455368
133,Friday,SOUTH-NORTH,16,23.629862943155334
134,Friday,SOUTH-NORTH,5,35.12102326868305
135,Friday,SOUTH-NORTH,8,27.690843036615696
136,Friday,SOUTH-NORTH,2,43.36995458019388
137,Friday,SOUTH-NORTH,21,32.367814236158345
138,Friday,SOUTH-NORTH,12,27.67769166672709
139,Friday,SOUTH-NORTH,15,25.548906382989372
140,Friday,SOUTH-NORTH,4,39.993803162963474
141,Friday,SOUTH-NORTH,7,27.338488715256243
142,Friday,SOUTH-NORTH,9,28.921448911224864
143,Friday,SOUTH-NORTH,3,43.552022627787274
144,Saturday,SOUTH-NORTH,16,28.03151076387918
145,Saturday,SOUTH-NORTH,17,28.242708680552084
146,Saturday,SOUTH-NORTH,7,32.768725561291184
147,Saturday,SOUTH-NORTH,3,42.71847525694509
148,Saturday,SOUTH-NORTH,9,29.90023940966251
149,Saturday,SOUTH-NORTH,18,27.5566003472771
150,Saturday,SOUTH-NORTH,22,35.22775694443125
151,Saturday,SOUTH-NORTH,14,26.30687326393334
152,Saturday,SOUTH-NORTH,21,33.71490486109376
153,Saturday,SOUTH-NORTH,4,41.72421276457643
154,Saturday,SOUTH-NORTH,11,26.462476215283353
155,Saturday,SOUTH-NORTH,5,38.4190234694143
156,Saturday,SOUTH-NORTH,2,41.29892643256228
157,Saturday,SOUTH-NORTH,20,31.675332638897913
158,Saturday,SOUTH-NORTH,12,24.63320347219582
159,Saturday,SOUTH-NORTH,0,39.59139790427843
160,Saturday,SOUTH-NORTH,15,27.494489062520824
161,Saturday,SOUTH-NORTH,6,36.42690442174083
162,Saturday,SOUTH-NORTH,8,31.276631597208336
163,Saturday,SOUTH-NORTH,19,28.9204701389396
164,Saturday,SOUTH-NORTH,23,37.25684295535465
165,Saturday,SOUTH-NORTH,10,27.787504861154158
166,Saturday,SOUTH-NORTH,1,40.43822482996734
167,Saturday,SOUTH-NORTH,13,24.527447048622918
